Name,Latitude,Longitude,Source Type,,,
Tony's Pub and Grill,42.4701609,-70.9389701,Full Service,,,
El Pulgarcito,42.466246,-70.945947,Full Service,,,
Lynnway Sports Center ,42.4717128,-70.93661,Full Service,,,
White Eagle Cafe,42.4667068,-70.984782,Full Service,,,
Tipico Centro Americano ,42.4602622,-70.9521283,Full Service,,,
Pollos a la Brasa,42.4666399,-70.9394982,Full Service,,,
Bruno's ,42.4853825,-70.9580255,Full Service,,,
3 Yolks,42.4627152,-70.9472158,Full Service ,,,
Lynn House Of Roast Beef,42.4713154,-70.9470514,Full Service ,,,
Old Tyme Italian Cuisine,42.4618487,-70.9529855,Full Service ,,,
Little River Inn,42.4792175,-70.9331188,Full Service ,,,
Apsara Angkor,42.4697,-70.984898,Full Service ,,,
Dea's Diner,42.4661199,-70.930991,Full Service ,,,
El Molino Cafe ,42.4656066,-70.9847758,Full Service ,,,
Spiros Energy Inc.,42.4653396,-70.9544452,Gas Station - Snack Retail,,,
Gulf Gas Station,42.4605981,-70.9692985,Gas Station - Snack Retail,,,
Shell Gas Station,42.4646885,-70.9390538,Gas Station - Snack Retail,,,
Quick Mart,42.4597037,-70.9591832,Gas Station - Snack Retail,,,
A Prime Gas Station ,42.4863409,-70.9582783,Gas Station - Snack Retail,,,
Market Sq Beverage,42.4687769,-70.970621,Liquor Store - Snack Retail,,,
Sullivan's Liquors ,42.464629,-70.9550411,Liquor Store - Snack Retail,,,
Mike's Liquors ,42.478402,-70.938718,Liquor Store - Snack Retail,,,
Discount Liquors,42.4717128,-70.93661,Liquor Store - Snack Retail,,,
Chestnut Liquors,42.4667068,-70.984782,Liquor Store - Snack Retail,,,
Lynnway liquor,42.467885,-70.976967,Liquor Store - Snack Retail,,,
Dymes Liquors,42.4654456,-70.9423637,Liquor Store - Snack Retail,,,
Santo Domingo Liquors,42.4767216,-70.9438917,Liquor Store - Snack Retail,,,
Jimmy's Discount liquors ,42.4596933,-70.95496,Liquor Store - Snack Retail,,,
M.C. Heald Liquors,42.495958,-70.971592,Liquor Store - Snack Retail,,,
State Street Liquor,42.5019437,-70.9788681,Liquor Store - Snack Retail,,,
Loomos Brother Liquors,42.4863838,-70.9580834,Liquor Store - Snack Retail,,,
Dunkin Donuts,42.4713154,-70.9470514,Major Franchise Fast Food,,,
Wendy's,42.4732906,-70.9679232,Major Franchise Fast Food,,,
McDonalds ,42.50484,-70.983587,Major Franchise Fast Food,,,
Honey Dew,42.4734844,-70.9331051,Major Franchise Fast Food,,,
Honey Dew Donuts,42.469222,-70.9665687,Major Franchise Fast Food,,,
Dunkin Donuts,42.461671,-70.95404,Major Franchise Fast Food,,,
KFC,42.4607431,-70.9630385,Major Franchise Fast Food,,,
Dunkin Donuts,42.452871,-70.961009,Major Franchise Fast Food,,,
Dunkin Donuts ,42.4652593,-70.969245,Major Franchise Fast Food ,,,
Dunkin Donuts ,42.4652593,-70.969245,Major Franchise Fast Food ,,,
Pizza Hut,42.4599313,-70.9490249,Major Franchise Fast Food ,,,
Dunkin Donuts ,42.4633259,-70.9396049,Major Franchise Fast Food ,,,
Subway,42.4630754,-70.9402662,Major Franchise Fast Food ,,,
Starbucks Coffee,42.4629327,-70.9414094,Major Franchise Fast Food ,,,
Compare SuperMarket ,42.4696615,-70.9464459,Supermarket,,,
America's Food Basket,42.4627152,-70.9472158,Supermarket,,,
Stop and Shop ,42.4659981,-70.9498813,Supermarket,,,
Price Rite,42.464647,-70.9341542,Supermarket,,,
Shaws,42.4633037,-70.9397205,Supermarket,,,
Walmart,42.4648915,-70.9339461,Supermarket,,,
Seacrest foods ,42.4632195,-70.9443946,Supermarket,,,
Hogan's Lounge,42.465952,-70.9549801,Take Out,,,
Magic Island ,42.4654912,-70.9331472,Take Out,,,
Primo's pizza,42.469605,-70.939299,Take Out,,,
El Tikal,42.4637369,-70.945725,Take Out,,,
Jamaica's Flavor ,42.4656001,-70.9426346,Take Out,,,
Country Fried Chicken ,42.4612184,-70.9497546,Take Out,,,
Rite Spice Caribbean,42.4637239,-70.9454241,Take Out,,,
Convenience Station ,42.46336,-70.941293,Take Out,,,
La Morena Restaurant,42.4689584,-70.9374147,Take Out,,,
Little Caesar's ,42.4660754,-70.9424684,Take Out,,,
Crown Fried Chicken,42.4653778,-70.9315514,Take Out,,,
Ha Lin Restaurant ,42.4668805,-70.9259689,Take Out,,,
Bread Dreams,42.462157,-70.9619512,Take Out,,,
Domino's ,42.4612657,-70.9496695,Take Out,,,
Super Seven Sub Pizza,42.4701609,-70.9389701,Take Out,,,
Thai Cafe,42.4681508,-70.9387502,Take Out ,,,
Sub Day ,42.466996,-71.008869,Take Out ,,,
Giovanni's House of Pizza,42.4605442,-70.9414842,Take Out ,,,
Casa Amelia,42.4621066,-70.9505859,Take Out ,,,
Charlie's Seafood,42.4646734,-70.9336142,Take Out ,,,
Elizabeth's Cake & Party ,42.4568454,-70.9536055,Take Out ,,,
Crown Fried Chicken ,42.4697497,-70.9568528,Take Out ,,,
Tropical Restaurant ,42.4612184,-70.9497546,Take Out ,,,
Beijing Restaurant ,42.4636973,-70.9502788,Take Out ,,,
D'Amici's ,42.4578885,-70.9518403,Take Out ,,,
Alfredo's Italian Kitchen ,42.4636609,-70.9502142,Take Out ,,,
Jimmy's Roast Beef and Subs,42.465952,-70.9549801,Take Out ,,,
Pamino's Pizza and Roast Beef,42.458512,-70.935646,Take Out ,,,
Tony Lena's ,42.4625777,-70.9476797,Take Out ,,,
Subway,42.4643851,-70.94666,Take Out ,,,
Sebastian's Pizzeria,42.4602905,-70.9602369,Take Out ,,,
Atlas Pizzeria,42.4638483,-70.9469554,Take Out ,,,
Shoreline Grill and Pizza ,42.4659771,-70.9302642,Take Out ,,,
Beachside Roast Beef ,42.4608183,-70.9504558,Take Out ,,,
Tony Tipico,42.4660754,-70.9424684,Take Out ,,,
Pizza Lovers,42.4637932,-70.9467046,Take Out ,,,
Cafe 39,42.4640429,-70.950426,Cafe,,,
Land Of A Thousand Hills ,42.4680397,-70.9586907,Cafe,,,
Lulis Cafe,42.4269828,-71.0372445,Cafe,,,
Walnut Street Cafe,42.4704327,-70.9375899,Cafe,,,
White Rose Coffee House ,42.4633081,-70.9396974,Cafe,,,
Alpha Convenience Store,42.465792,-70.942949,Corner Store/ Bodega,,,
Big Brothers Food Market,42.4660754,-70.9424684,Corner Store/ Bodega,,,
Bonao Grocery Store,42.4680397,-70.9586907,Corner Store/ Bodega,,,
Cheysak Market,42.466136,-70.9419904,Corner Store/ Bodega,,,
Convenience Plus ,42.4663686,-70.9509417,Corner Store/ Bodega,,,
Convenience Station,42.466707,-70.9415,Corner Store/ Bodega,,,
Duron Market,42.4595047,-70.9407121,Corner Store/ Bodega,,,
EZ Shop,42.4758796,-70.9463912,Corner Store/ Bodega,,,
Family Carner Groceries ,42.463478,-70.9757209,Corner Store/ Bodega,,,
Friendly Market,42.4636626,-70.945789,Corner Store/ Bodega,,,
Gonzalez Food Market,42.466707,-70.9415,Corner Store/ Bodega,,,
Inner Convenience Store,42.4674982,-70.9400271,Corner Store/ Bodega,,,
Jimenez Market,42.4662569,-70.9425207,Corner Store/ Bodega,,,
La Centro Americana Market ,42.468399,-70.9550198,Corner Store/ Bodega,,,
Lynn Convenience Store,42.4814202,-70.9452605,Corner Store/ Bodega,,,
Lynnfield St Market ,42.4944975,-70.9707592,Corner Store/ Bodega,,,
Poblanos Mexican Grocery,42.4638678,-70.9443054,Corner Store/ Bodega,,,
QuiSqueya,42.4695932,-70.9392934,Corner Store/ Bodega,,,
Sethy's Convenience Store,42.4772392,-70.9493862,Corner Store/ Bodega,,,
Shop Kwik,42.5030068,-70.9804145,Corner Store/ Bodega,,,
Stop and Go Market ,42.45912,-70.977163,Corner Store/ Bodega,,,
Sunshine Convenience Market,42.4697235,-70.9567828,Corner Store/ Bodega,,,
Union News,42.4655166,-70.942948,Corner Store/ Bodega,,,
Union Variety,42.4676563,-70.9396808,Corner Store/ Bodega,,,
Vecino Meat Market,42.467248,-70.940643,Corner Store/ Bodega,,,
Western Ave Market ,42.4811503,-70.9449091,Corner Store/ Bodega,,,
7 Eleven,42.4616897,-70.9827375,Corner Store/ Bodega,,,
7 Eleven,42.485602,-70.9608729,Corner Store/ Bodega,,,
Benjy's Convenience Store,42.4743794,-70.9376052,Corner Store/ Bodega,,,
Richdale Convenience Store ,42.4798465,-70.9425179,Corner Store/ Bodega,,,
Sunrise Convenience Store ,42.4775035,-70.9389635,Corner Store/ Bodega,,,
Tedeschi's,42.4638616,-70.9761495,Corner Store/ Bodega,,,
CVS,42.4818078,-70.9362444,Drug/Discount Store,,,
Family Dollar,42.466136,-70.9419904,Drug/Discount Store,,,
Richmond Pharmacy,42.4812886,-70.9360331,Drug/Discount Store,,,
Walgreens,42.4861586,-70.9601052,Drug/Discount Store,,,
Walgreens ,42.4674517,-70.9424216,Drug/Discount Store,,,
Aprils Pub and Grill,42.4655251,-70.9443223,Full Service,,,
Imperial Buffet,42.4733408,-70.9584539,Full Service,,,
Las Vegas Restaurant,42.4627152,-70.9472158,Full Service,,,
Rincon Macorisano,42.46501,-70.9483546,Full Service,,,
Rolly's Tavern,42.485049,-70.959783,Full Service,,,
The Blue Ox,42.4632664,-70.947593,Full Service,,,
The Lazy Dog ,42.4852753,-70.9600084,Full Service,,,
Four Winds Pub & Grill ,42.4873009,-70.9603913,Full Service ,,,
Hayward's Breakfast ,42.4881424,-70.9652337,Full Service ,,,
Little River Inn,42.4635859,-70.9755247,Full Service ,,,
Old Tyme Italian ,42.4636205,-70.9753941,Full Service ,,,
A Prime Energy,42.459362,-70.978613,Gas Station - Snack Retail,,,
Cumberland Farms ,42.4800413,-70.9550292,Gas Station - Snack Retail,,,
Global gas Station ,42.484887,-70.9411829,Gas Station - Snack Retail,,,
Mobile Mart,42.4769712,-70.9485697,Gas Station - Snack Retail,,,
Richdale,42.4700012,-70.9713681,Gas Station - Snack Retail,,,
Richdale,42.4784685,-70.9510734,Gas Station - Snack Retail,,,
Richdale's Gas,42.4885019,-70.9595329,Gas Station - Snack Retail,,,
Audets Wine and Spirits,42.4760333,-70.957598,Liquor Store - Snack Retail,,,
Brookside Liquors ,42.4785664,-70.9562061,Liquor Store - Snack Retail,,,
Debro Liquors ,42.4846666,-70.9413009,Liquor Store - Snack Retail,,,
Hines Liquors,42.4686675,-70.9580837,Liquor Store - Snack Retail,,,
NewHall's Liquors,42.4849658,-70.9600115,Liquor Store - Snack Retail,,,
Burger King,42.471791,-70.958025,Major Franchise Fast Food,,,
Dunkin Donuts,42.478801,-70.956479,Major Franchise Fast Food,,,
Dunkin Donuts,42.4766047,-70.9571493,Major Franchise Fast Food,,,
Little Caesars ,42.4695924,-70.939293,Major Franchise Fast Food,,,
Mcdonalds,42.4769928,-70.9560207,Major Franchise Fast Food,,,
Taco Bell,42.4738779,-70.9584035,Major Franchise Fast Food,,,
Wendy's ,42.4747109,-70.9575485,Major Franchise Fast Food,,,
Domino's Pizza,42.4642127,-70.9436351,Major Franchise Fast Food,,,
Dunkin Donuts,42.4640138,-70.9440795,Major Franchise Fast Food,,,
Dunkin Donuts ,42.5107149,-70.9925746,Major Franchise Fast Food,,,
Subway,42.4784685,-70.9510734,Major Franchise Fast Food,,,
Angelinas Sub Shop ,42.469414,-70.956873,Take Out,,,
Athas Roast Beef,42.4792747,-70.9560752,Take Out,,,
Bella Luna Restaurant,42.4643202,-70.9468286,Take Out,,,
Bernie's Place,42.4642123,-70.9483455,Take Out,,,
Burritos Pizza and Grill 2,42.4790278,-70.9532519,Take Out,,,
Cali Sandwich,42.4683154,-70.9388034,Take Out,,,
China Sails,42.4695927,-70.9392932,Take Out,,,
Coach Pete's Corner ,42.4798465,-70.9425179,Take Out,,,
D'Empanadas,42.4673283,-70.9405463,Take Out,,,
D'itzel Restaurant,42.4689584,-70.9374147,Take Out,,,
Enzos Pizzeria,42.4602394,-70.9472496,Take Out,,,
Fauci's Pizza ,42.485223,-70.961086,Take Out,,,
John's Roast Beef and Seafood,42.4811234,-70.9454809,Take Out,,,
Kell's Kreme,42.4882302,-70.9596722,Take Out,,,
Kennedy Fried Chicken,42.4766509,-70.949083,Take Out,,,
La Parada,42.4685,-70.9377279,Take Out,,,
Lucky Dragon,42.4854317,-70.9603592,Take Out,,,
Mi Guatemala Bakery,42.4663193,-70.9425012,Take Out,,,
New Style Asian,42.4792747,-70.9560752,Take Out,,,
Restaurant Casa Metapan ,42.459995,-70.9793994,Take Out,,,
Blanquitas Restaurant,42.4665237,-70.9422848,Take Out,,,
Caruso's Pizza,42.465792,-70.942949,Take Out,,,
Denny's Place ,42.4637277,-70.9457108,Take Out,,,
Los Chumos,42.4658756,-70.9426577,Take Out,,,
Minos Roast Beef,42.4877412,-70.9595682,Take Out,,,
Superior Roast Beef,42.4909935,-70.9718161,Take Out,,,
Tacos Lupita,42.4637239,-70.9454241,Take Out,,,
Tony Lenas,42.4638931,-70.9757002,Take Out,,,
Jade Pacifica ,42.4873082,-70.9644062,Take Out ,,,
Nickey's Pizza,42.486244,-70.9635178,Take Out ,,,
Crown Fried Chicken ,42.4744638,-70.9376585,Take Out ,,,
